time,start,end,count,diff
28445.687589,2066324495,2066325603,15800,1108
28445.699618,2066333314,2066334390,15833,1076
28445.711647,2066342118,2066343232,16074,1114
28445.723653,2066350914,2066352020,15685,1106
28445.735687,2066359684,2066360785,15641,1101
28445.747716,2066368492,2066369570,15825,1078
28445.767251,2066379677,2066380336,13652,659
28445.776331,2066384499,2066385126,12933,627
28445.809331,2066404718,2066405911,16348,1193
28445.821346,2066414227,2066415418,16016,1191
28445.833377,2066423730,2066424924,16352,1194
28445.845401,2066433253,2066434440,16386,1187
28445.896498,2066473652,2066474840,16347,1188
28445.908521,2066483146,2066484339,16390,1193
28445.920534,2066492647,2066493839,16019,1192
28445.971641,2066533080,2066534269,16384,1189
28445.983654,2066542819,2066544007,16012,1188
28445.995685,2066552325,2066553519,16326,1194
28446.013720,2066566581,2066567769,16336,1188
28446.025743,2066576079,2066577271,16382,1192
28446.037761,2066585559,2066586775,15990,1216
28446.049790,2066595111,2066596309,16259,1198
28446.064808,2066607008,2066608200,16015,1192
28446.076841,2066616503,2066617697,16346,1194
28446.088862,2066626004,2066627193,16367,1189
28446.100884,2066635482,2066636673,16089,1191
28446.121926,2066652103,2066653291,16341,1188
28446.133949,2066661614,2066662808,16378,1194
28446.145963,2066671097,2066672288,15997,1191
28446.157995,2066680644,2066681837,16316,1193
28446.170017,2066690154,2066691348,16382,1194
28446.182033,2066699693,2066700876,16020,1183
28446.194064,2066709224,2066710416,16349,1192
28446.224120,2066733024,2066734216,16469,1192
28446.236134,2066742572,2066743764,16016,1192
28446.248166,2066752102,2066753296,16324,1194
28446.281220,2066778255,2066779450,16019,1195
28446.292758,2066787310,2066788419,15765,1109
28446.309783,2066798444,2066799558,15971,1114
28446.321797,2066807329,2066808441,15614,1112
28446.333831,2066816234,2066817345,15907,1111
28446.345851,2066825097,2066826206,15962,1109
28446.357866,2066833965,2066835073,15689,1108
28446.369898,2066842835,2066843949,15935,1114
28446.381919,2066851700,2066852811,15956,1111
28446.393937,2066860548,2066861653,15619,1105
28446.405965,2066869431,2066870537,15907,1106
28446.430003,2066887108,2066888211,15616,1103
28446.442037,2066895995,2066897109,15907,1114
28446.466071,2066913686,2066914795,15688,1109
28446.478104,2066922532,2066923643,15946,1111
28446.502146,2066940243,2066941356,15947,1113
28446.514170,2066949108,2066950186,15744,1078
28446.526193,2066957923,2066959032,15954,1109
28446.538209,2066966733,2066967845,15531,1112
28446.548327,2066975620,2066976729,15902,1109
28446.562264,2066984475,2066985584,15972,1109
28446.574278,2066993294,2066994401,15677,1107
28446.589315,2067004357,2067005459,15976,1102
28446.601332,2067013270,2067014378,15825,1108
28446.613363,2067022109,2067023223,15938,1114
28446.625383,2067030959,2067032068,15965,1109
28446.637394,2067039782,2067040889,15565,1107
28446.649431,2067048632,2067049743,15904,1111
