time,start,end,count,end-start
741.463143,137418570,137419128,8821,558
742.482084,137560007,137560590,6369,583
743.502524,137706695,137707269,8992,574
744.518456,137850273,137850831,8948,558
745.538903,137999687,138000275,9272,588
746.56235,138168887,138169485,8751,598
747.582781,138317132,138317725,9153,593
748.601754,138462435,138463034,4237,599
749.622159,138612008,138612607,7259,599
750.630576,138748873,138749473,8919,600
751.663042,138889508,138890102,8907,594
752.681983,139029597,139030182,5647,585
753.702434,139168682,139169255,9198,573
754.710842,139319861,139320462,8922,601
755.734283,139491704,139492274,7935,570
756.742701,139642380,139642970,8937,590
757.770653,139783559,139784150,8923,591
758.803127,139936229,139936823,9218,594
759.822059,140071582,140072174,6661,592
760.837991,140211993,140212590,5726,597
761.862946,140350845,140351444,9232,599
762.881883,140485988,140486428,3720,440
763.887294,140637410,140638015,9252,605
764.903227,140806786,140807386,9180,600
765.943209,140952738,140953338,9238,600
766.957626,141103430,141104027,5734,597
767.982588,141250545,141251122,9253,577
768.998521,141394685,141395256,9168,571
770.021955,141536218,141536793,6084,575
771.027365,141670324,141670922,9244,598
772.062847,141811988,141812562,9173,574
773.08328,141971781,141972379,8826,598
774.102225,142127920,142128497,7778,577
775.107631,142272601,142273195,9020,594
776.143108,142421619,142422200,9265,581
777.162043,142570601,142571164,6307,563
778.182482,142706617,142707189,9054,572
779.202918,142845193,142845785,9128,592
780.22336,142979031,142979625,8885,594
781.242296,143114991,143115590,8409,599
782.246208,143267523,143268094,7398,571
783.265148,143430669,143431245,9064,576
784.275062,143573816,143574400,12062,584
785.278969,143714258,143714832,8946,574
786.309941,143858051,143858614,5391,563
787.361939,144001737,144002173,3938,436
788.382382,144140803,144141376,9192,573
789.402824,144274914,144275489,9288,575
790.406725,144409663,144410253,9228,590
791.410634,144570915,144571490,8949,575
792.419059,144737069,144737665,9277,596
793.42597,144880407,144881016,5342,609
794.438892,145032104,145032697,9202,593
795.462342,145180368,145180967,8428,599
796.487286,145319458,145320033,8834,575
797.510734,145456299,145456895,9312,596
798.53419,145596596,145597194,7468,598
799.547115,145744467,145745068,8926,601
800.551013,145906747,145907306,8929,559
801.574461,146066106,146066679,8991,573
802.63098,146215173,146215769,8963,596
803.654427,146367027,146367625,9237,598
804.679373,146506069,146506662,9043,593
805.702821,146647841,146648428,9226,587
806.726258,146787472,146788065,8145,593
807.751213,146927184,146927784,9152,600
808.77466,147072602,147073194,9235,592
809.778562,147235413,147236018,8894,605
810.823052,147394172,147394769,9173,597
811.841995,147533151,147533720,5575,569
812.862434,147678995,147679593,7670,598
813.882868,147814652,147815242,8869,590
814.903301,147954776,147955374,9151,598
815.910229,148094514,148095107,7468,593
816.942692,148241398,148241992,8994,594
817.96313,148390581,148391173,8918,592
818.982066,148556295,148556889,6633,594
820.002516,148710899,148711504,8978,605
821.010924,148851336,148851921,8875,585
822.022357,149004642,149005214,8796,572
823.026257,149140937,149141537,7287,600
824.030176,149276026,149276565,6635,539
825.103215,149427263,149427860,9232,597
826.122144,149568923,149569527,7209,604
827.138077,149717667,149718265,6659,598
828.146504,149877770,149878341,9239,571
829.181973,150030195,150030762,5815,567
830.197911,150172129,150172588,4039,459
831.206324,150320762,150321340,8405,578
832.229768,150462611,150463190,9275,579
833.262227,150607129,150607728,7487,599
834.282666,150745670,150746262,9192,592
835.303106,150883954,150884546,9180,592
836.322045,151036986,151037583,5944,597
837.330468,151192473,151193047,9005,574
838.341885,151342895,151343344,4019,449
839.350306,151486261,151486831,8088,570
840.375259,151640433,151641028,12061,595
841.379162,151777915,151778516,8985,601
842.386081,151913102,151913685,6773,583
843.389991,152047100,152047643,6031,543
844.422447,152189607,152190200,9193,593
845.433876,152334241,152334838,11373,597
846.439289,152495815,152496416,9274,601
847.455225,152644822,152645400,9200,578
848.462134,152789399,152789959,6660,560
849.583265,152961463,152962039,8861,576
850.602207,153105188,153105786,7643,598
851.622641,153248627,153249186,8984,559
852.643084,153388623,153389199,8859,576
853.662021,153524337,153524912,6291,575
854.662923,153681123,153681719,9257,596
855.683367,153853754,153854347,9169,593
856.721839,154010424,154011015,7808,591
857.742279,154162823,154163421,7966,598
858.75822,154314158,154314736,7734,578
859.783162,154453905,154454480,8876,575
860.802095,154597429,154598003,8940,574
861.822538,154736492,154737093,9307,601
862.842986,154874680,154875279,9175,599
863.843892,155030430,155031006,5189,576
864.870333,155198817,155199415,8740,598
865.902806,155349180,155349778,9376,598
866.905214,155503018,155503595,8093,577
867.942175,155651037,155651630,7465,593
868.962618,155788720,155789313,12074,593
869.983057,155921452,155922044,9160,592
871.001994,156059597,156060191,5904,594
872.005917,156200896,156201322,3914,426
873.026351,156362455,156363059,7637,604
874.030254,156520175,156520769,7360,594
875.046195,156668497,156669075,7569,578
876.047091,156811834,156812431,9179,597
877.123139,156961498,156962090,8917,592
878.142085,157099206,157099767,6647,561
879.142981,157236230,157236822,9151,592
880.16642,157376799,157377398,8933,599
881.18987,157516109,157516551,3679,442
882.207311,157684335,157684930,8920,595
883.218727,157850416,157851009,9199,593
884.230161,157992233,157992830,9183,597
885.274646,158138847,158139450,8870,603
886.278556,158273720,158274316,8791,596
887.301999,158420333,158420935,5977,602
888.341981,158565654,158566215,5647,561
889.36242,158708962,158709572,8996,610
890.375344,158849437,158850037,8909,600
891.379253,159003070,159003664,9282,594
892.42224,159166222,159166823,7905,601
