time,start,end,count,diff
29170.225986,2615054261,2615054843,11994,582
29170.238011,2615058143,2615058741,12067,598
29170.250032,2615061966,2615062567,9210,601
29170.262057,2615065807,2615066382,8954,575
29170.274083,2615069647,2615070230,9236,583
29170.286101,2615073535,2615074139,9295,604
29170.298124,2615077375,2615077951,8952,576
29170.310151,2615081265,2615081849,11992,584
29170.322169,2615085205,2615085814,12063,609
29170.334190,2615089083,2615089659,8952,576
29170.346221,2615092911,2615093495,9217,584
29170.358236,2615096748,2615097358,9282,610
29170.370258,2615100556,2615101163,8894,607
29170.382289,2615104428,2615105012,9196,584
29170.394306,2615108289,2615108893,9250,604
29170.406327,2615112111,2615112692,8891,581
29170.418361,2615115934,2615116516,9250,582
29170.430376,2615119800,2615120399,9219,599
29170.442392,2615123734,2615124311,11966,577
29170.454422,2615127691,2615128290,12070,599
29170.466443,2615131529,2615132135,9223,606
29170.478463,2615135342,2615135939,8941,597
29170.490495,2615139220,2615139804,9200,584
29170.502512,2615143081,2615143684,9290,603
29170.514532,2615146880,2615147456,8936,576
29170.526564,2615150829,2615151412,11939,583
29170.538583,2615154845,2615155454,12076,609
29170.550602,2615158684,2615159260,8957,576
29170.562631,2615162522,2615163101,9123,579
29170.574654,2615166382,2615166986,9303,604
29170.586667,2615170204,2615170806,8882,602
29170.598703,2615174044,2615174628,9204,584
29170.610719,2615177892,2615178502,9303,610
29170.622734,2615181699,2615182277,8871,578
29170.670832,2615196602,2615197205,12079,603
29170.682853,2615200509,2615201108,9257,599
29170.694876,2615204280,2615204856,8985,576
29170.706907,2615208094,2615208672,9185,578
29170.718923,2615211909,2615212513,9267,604
29170.730936,2615215784,2615216391,8861,607
29170.742975,2615219767,2615220376,12106,609
29170.754991,2615223804,2615224402,12059,598
29170.767013,2615227573,2615228149,8963,576
29170.779041,2615231555,2615232134,11991,579
29170.791053,2615235540,2615236140,11821,600
29170.803080,2615239557,2615240138,11965,581
29170.815109,2615243624,2615244207,11965,583
29170.827126,2615247561,2615248165,9244,604
29170.839147,2615251371,2615251965,8972,594
29170.851178,2615255342,2615255947,12117,605
29170.863189,2615259358,2615259960,11901,602
29170.875219,2615263297,2615263904,11826,607
29170.885738,2615266713,2615267321,9228,608
29170.918808,2615277099,2615277707,12140,608
29170.930824,2615280992,2615281590,9266,598
29170.942845,2615284955,2615285557,11864,602
29170.954873,2615288915,2615289498,11954,583
29170.966892,2615292770,2615293364,9270,594
29170.978910,2615296604,2615297185,8949,581
29171.078102,2615326983,2615327565,11958,582
29171.090136,2615330823,2615331407,9197,584
29171.102150,2615334638,2615335237,9241,599
29171.114177,2615338482,2615339058,8964,576
29171.126204,2615342403,2615342981,11961,578
29171.138219,2615346366,2615346970,12074,604
29171.150245,2615350224,2615350800,8951,576
29171.162271,2615354060,2615354644,9219,584
29171.174288,2615357912,2615358516,9214,604
29171.200331,2615366688,2615367291,11979,603
29171.265969,2615386897,2615387507,12095,610
29171.277989,2615390811,2615391419,8974,608
29171.290018,2615394880,2615395464,8912,584
29171.302039,2615398747,2615399356,9269,609
29171.314056,2615402676,2615403279,8975,603
29171.326087,2615406580,2615407164,8933,584
29171.338103,2615410434,2615411041,9164,607
